created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-29 05:09:34+00:00,RT @jacinta_nicole_: #Modiji starting the clapping in India.. 👏🏼 UK followed.. then #USA.. history repeats itself.. Many indians who hate i…,VivexShah,ahmadabad city india,INDIAN,6,101.0,316.0,False,#Modiji starting the clapping in India.. 👏🏼 UK followed.. then #USA.. history repeats itself.. Many indians who hate india &amp; complained about the clapping.. suddenly approve of #clapping 👏🏼 now the west has followed. #india #ukclapping #nyc #coronavirus #JanataCurfew
2020-03-29 05:09:34+00:00,"In the current scenario when the whole nation is fighting against the COVID-19, it must be your top priority to ensure the manufacturing and availability of all medical equipments required by HCPs. Providing just list of manufacturers won’t solve the problem. @MiIAiMeD #COVID2019 https://t.co/y5Sg1Bd1bO",jamshedahmad17,new delhi india,"Caring dad, Loving husband & Law-abiding citizen | An Indian first, and Indian last |💯 follow back.",546,631.0,1243.0,False,
2020-03-29 05:09:34+00:00,"RT @mvmeet: Here's the list of contributors who are helping us fight against corona:

* Ratan Tata: Rs 1500 crore

* Mukesh Ambani: Donated…",PrabhasFans_ww,india,Prabhas  updates online 24×7. Prabhas Fans Twitter A/c.Follow @PrabhasFans_ww for more updates about Rebelstar #Prabhas,908,3.0,7161.0,False,"Here's the list of contributors who are helping us fight against corona:

* Ratan Tata: Rs 1500 crore

* Mukesh Ambani: Donated a hospital

* Akshay Kumar: Rs 25 crore

* Prabhas: Rs 4 crore

* Pawan Kalyan: Rs 1 crore

* Suresh Raina: 52 lakh

Add the names of other celebs too!"
2020-03-29 05:09:34+00:00,RT @KirenRijiju: This episode of PM @narendramodi ji's #MannKiBaat will be focused on the situation prevailing due to COVID-19. Begins at 1…,PIBImphal,manipur india,"Official Twitter account of Press Information Bureau, Government of India, Imphal, Manipur",3765,26.0,4639.0,True,"This episode of PM @narendramodi ji's #MannKiBaat will be focused on the situation prevailing due to COVID-19. Begins at 11am, Sunday 29th March https://t.co/N5VYhyIl6x"
2020-03-29 05:09:34+00:00,RT @anilpandey1149: Will this lockdown really work? Or govt is saying please spend sometime with family before the world ends.,godavari_kapoor,chandigarh india,Sat sahib ji,201,94.0,326412.0,False,Will this lockdown really work? Or govt is saying please spend sometime with family before the world ends.
2020-03-29 05:09:35+00:00,Apparently #Corona disproportionately affects men more than women! Nature is also feminist now lol,akshaysurana5,bengaluru india,"My bio is with my dad. If you own a daughter, talk to him lol",90,275.0,484.0,False,
2020-03-29 05:09:35+00:00,"RT @ttindia: Fear of hunger bigger than virus

https://t.co/MsReOaRVsf",shashikantupadh,noida india,"lame Duck, Trader with Losses, Atheist",130,294.0,32930.0,False,"Fear of hunger bigger than virus

https://t.co/MsReOaRVsf"
2020-03-29 05:09:35+00:00,"RT @narendramodi: Tune in tomorrow at 11. 

Tomorrow’s episode will be focused on the situation prevailing due to COVID-19. #MannKiBaat htt…",Yogesh_Gogawale,pune india,"Vice President - BJP, Maharashtra
@BJP4maharashtra.",2071,219.0,66843.0,False,"Tune in tomorrow at 11. 

Tomorrow’s episode will be focused on the situation prevailing due to COVID-19. #MannKiBaat https://t.co/wWybvdLW8k"
2020-03-29 05:09:36+00:00,"RT @narendramodi: There’s nothing big or little. 

Every single contribution matters. It shows our collective resolve to defeat COVID-19. #…",jayeshkbh,india,"Learning to learn India. Ask me what each tweet, retweet, and like means.",136,147.0,18661.0,False,"There’s nothing big or little. 

Every single contribution matters. It shows our collective resolve to defeat COVID-19. #IndiaFightsCorona https://t.co/ibCnvGNIyo"
2020-03-29 05:09:37+00:00,RT @Being_Humor: PM @narendramodi is pulling India out of stage 2 and @ArvindKejriwal is pushing India to stage 3 of #Corona.,surappa,india,Man with the intention to make better world | Nature lover | Indian,113,178.0,7307.0,False,PM @narendramodi is pulling India out of stage 2 and @ArvindKejriwal is pushing India to stage 3 of #Corona.
2020-03-29 05:09:37+00:00,RT @PrinceArihan: For every retweet this post gets by March 31st 2020. I will set aside Rs 4 towards the PM Cares Fund towards the battling…,prasad_gv,hyderabad india,,373,323.0,36516.0,False,For every retweet this post gets by March 31st 2020. I will set aside Rs 4 towards the PM Cares Fund towards the battling COVID-19 with @narendramodi as an initiative from the Thomas Seva Foundation. A dedication to @MyrtleFerns father who is no longer with us. #BeatCoronaVirus.
2020-03-29 05:09:37+00:00,"RT @purijagan: Best way to keep people indoor.
""ONE DRONE""
Total lockdown...
No Army and Police👮...
Less cost more effective. https://t.co/…",Vamsicherukuri7,chennai india,"Eat, work,sleep and Repeat.
A Boring life😓",20,106.0,29.0,False,"Best way to keep people indoor.
""ONE DRONE""
Total lockdown...
No Army and Police👮...
Less cost more effective. https://t.co/JNTHzupHGy"
2020-03-29 05:09:37+00:00,RT @RPPATTNAIK1: @KNJoshi18946341 @Arun72954786 @Prakash12Joshi @mukesh30singh @RajeshK16151624 @bandushingote @SMehta2020 @KdwivediVinod @…,Avanirjar,india,"Serial Entrepreneur, Investor, Philanthropist, Patriot. Support development of Mera Bharat.",530,516.0,137400.0,False,"@KNJoshi18946341 @Arun72954786 @Prakash12Joshi @mukesh30singh @RajeshK16151624 @bandushingote @SMehta2020 @KdwivediVinod @Amaresh277711 @DrSanjib_ @BindaPressed @Amaresh03335514 @nair_hena @ChhayaGupta13 @AAKHAND_BHARAT @mhrathod2970 @Vishakh50862352 @SunilMa94722455 @rakeshojjha @DrRekha43103237 @CBarwad @aakashgupta146 @RajpalChhoker @JadooKaDhoop @yogiputinnath @sachida10 @Dharmen02751401 @SMehta1950 @Hritu_6 @BJP4India @narendramodi_in @Rstiwari20 @VmtVirendra @Jitendr78399751 @RashmiShriJS @vparihar15 @DrNMNahar @rssmanohar1963 @sarveshchoubey6 @Dev__17 @iBackModi @rajeshchbjp @Real_AnujB @Romeo50902269 @ako660 @84_DPC @getazadi @pagali_hu @MODImeanMUMKIN @khanumarfa Once Again Aap has played the politics....
Its a responsible for the conditions of Delhi..now the labourers...
At the time of lock down..it let such mass migration.....
The consequences....😠😠 https://t.co/W57uNtVhOU"
2020-03-29 05:09:38+00:00,@PrakashJavdekar in the case of lock down will there  be any relief to parents on school fee as private school will charge full fee for entire session. Please look in to it.....,guptarvind2012,pune india,,43,228.0,724.0,False,
2020-03-29 05:09:38+00:00,"RT @VjaCityPolice: Donation from Jyothi Surekha, Archer

The famous archer Ms. Jyothi Surekha has sponsored 750 hand sanitizer bottles and…",kotasiva,india,"Politics is to serve people & service to society | IT is my Profession |
JAI HIND",256,517.0,20307.0,False,"Donation from Jyothi Surekha, Archer

The famous archer Ms. Jyothi Surekha has sponsored 750 hand sanitizer bottles and 500 masks to Vijayawada City Police for Covid-19 duties on 27.03.2020.Appreciations and best wishes to Ms. Jyothi Surekha from Vijayawada Police Commissionerate https://t.co/QXa45DcPRH"
